+-----------------------+--------------------------------------------------------+------------------------------+--------+
| Mod name              | Registry name                                          | Entity class name            |     ID |
+-----------------------+--------------------------------------------------------+------------------------------+--------+
| Aether Legacy         | aether_legacy:aechor_plant                             | EntityAechorPlant            |     10 |
| Aether Legacy         | aether_legacy:aerbunny                                 | EntityAerbunny               |      4 |
| Aether Legacy         | aether_legacy:aerwhale                                 | EntityAerwhale               |      5 |
| Aether Legacy         | aether_legacy:cockatrice                               | EntityCockatrice             |      7 |
| Aether Legacy         | aether_legacy:enchanted_dart                           | EntityDartEnchanted          |     17 |
| Aether Legacy         | aether_legacy:fire_ball                                | EntityFireBall               |     19 |
| Aether Legacy         | aether_legacy:fire_minion                              | EntityFireMinion             |     23 |
| Aether Legacy         | aether_legacy:floating_block                           | EntityFloatingBlock          |     25 |
| Aether Legacy         | aether_legacy:flying_cow                               | EntityFlyingCow              |      2 |
| Aether Legacy         | aether_legacy:golden_dart                              | EntityDartGolden             |     15 |
| Aether Legacy         | aether_legacy:hammer_projectile                        | EntityHammerProjectile       |     29 |
| Aether Legacy         | aether_legacy:ice_ball                                 | EntityIceyBall               |     20 |
| Aether Legacy         | aether_legacy:lightning_knife                          | EntityLightningKnife         |     30 |
| Aether Legacy         | aether_legacy:mimic                                    | EntityMimic                  |     11 |
| Aether Legacy         | aether_legacy:mini_cloud                               | EntityMiniCloud              |     24 |
| Aether Legacy         | aether_legacy:moa                                      | EntityMoa                    |      0 |
| Aether Legacy         | aether_legacy:parachute                                | EntityParachute              |     31 |
| Aether Legacy         | aether_legacy:phoenix_arrow                            | EntityPhoenixArrow           |     27 |
| Aether Legacy         | aether_legacy:phyg                                     | EntityPhyg                   |      1 |
| Aether Legacy         | aether_legacy:poison_dart                              | EntityDartPoison             |     16 |
| Aether Legacy         | aether_legacy:poison_needle                            | EntityPoisonNeedle           |     18 |
| Aether Legacy         | aether_legacy:sentry                                   | EntitySentry                 |      8 |
| Aether Legacy         | aether_legacy:sheepuff                                 | EntitySheepuff               |      3 |
| Aether Legacy         | aether_legacy:slider                                   | EntitySlider                 |     12 |
| Aether Legacy         | aether_legacy:sun_spirit                               | EntitySunSpirit              |     14 |
| Aether Legacy         | aether_legacy:swet                                     | EntitySwet                   |      6 |
| Aether Legacy         | aether_legacy:thunder_ball                             | EntityThunderBall            |     21 |
| Aether Legacy         | aether_legacy:tnt_present                              | EntityTNTPresent             |     26 |
| Aether Legacy         | aether_legacy:valkyrie                                 | EntityValkyrie               |     22 |
| Aether Legacy         | aether_legacy:valkyrie_queen                           | EntityValkyrieQueen          |     13 |
| Aether Legacy         | aether_legacy:whirlwind                                | EntityWhirlwind              |     32 |
| Aether Legacy         | aether_legacy:zephyr                                   | EntityZephyr                 |      9 |
| Aether Legacy         | aether_legacy:zephyr_snowball                          | EntityZephyrSnowball         |     28 |
| Applied Energistics 2 | appliedenergistics2:appeng.entity.entitychargedquartz  | EntityChargedQuartz          |     12 |
| Applied Energistics 2 | appliedenergistics2:appeng.entity.entitygrowingcrystal | EntityGrowingCrystal         |     13 |
| Applied Energistics 2 | appliedenergistics2:appeng.entity.entitysingularity    | EntitySingularity            |     11 |
| Applied Energistics 2 | appliedenergistics2:appeng.entity.entitytinytntprimed  | EntityTinyTNTPrimed          |     10 |
| Astral Sorcery        | astralsorcery:entitycrystal                            | EntityCrystal                |      2 |
| Astral Sorcery        | astralsorcery:entitycrystaltool                        | EntityCrystalTool            |      7 |
| Astral Sorcery        | astralsorcery:entityflare                              | EntityFlare                  |      3 |
| Astral Sorcery        | astralsorcery:entitygrapplinghook                      | EntityGrapplingHook          |      8 |
| Astral Sorcery        | astralsorcery:entityhighlighted                        | EntityItemHighlighted        |      0 |
| Astral Sorcery        | astralsorcery:entityilluminationspark                  | EntityIlluminationSpark      |      5 |
| Astral Sorcery        | astralsorcery:entityliquidspark                        | EntityLiquidSpark            |     10 |
| Astral Sorcery        | astralsorcery:entitynocturnalspark                     | EntityNocturnalSpark         |      6 |
| Astral Sorcery        | astralsorcery:entityobservatoryhelper                  | EntityObservatoryHelper      |     11 |
| Astral Sorcery        | astralsorcery:entityspectraltool                       | EntitySpectralTool           |      9 |
| Astral Sorcery        | astralsorcery:entitystarburst                          | EntityStarburst              |      4 |
| Astral Sorcery        | astralsorcery:entitystardust                           | EntityItemStardust           |      1 |
| Battle Towers         | battletowers:golem                                     | AS_EntityGolem               |      1 |
| Battle Towers         | battletowers:golemfireball                             | AS_EntityGolemFireball       |      2 |
| BiblioCraft           | bibliocraft:biblioseat                                 | EntitySeat                   |      0 |
| Botania               | botania:babylon_weapon                                 | EntityBabylonWeapon          |     17 |
| Botania               | botania:corporea_spark                                 | EntityCorporeaSpark          |     11 |
| Botania               | botania:doppleganger                                   | EntityDoppleganger           |      5 |
| Botania               | botania:ender_air_bottle                               | EntityEnderAirBottle         |     12 |
| Botania               | botania:falling_star                                   | EntityFallingStar            |     18 |
| Botania               | botania:flame_ring                                     | EntityFlameRing              |      3 |
| Botania               | botania:magic_landmine                                 | EntityMagicLandmine          |      6 |
| Botania               | botania:magic_missile                                  | EntityMagicMissile           |      9 |
| Botania               | botania:mana_burst                                     | EntityManaBurst              |      0 |
| Botania               | botania:mana_storm                                     | EntityManaStorm              |     16 |
| Botania               | botania:pink_wither                                    | EntityPinkWither             |     14 |
| Botania               | botania:pixie                                          | EntityPixie                  |      2 |
| Botania               | botania:player_mover                                   | EntityPlayerMover            |     15 |
| Botania               | botania:pool_minecart                                  | EntityPoolMinecart           |     13 |
| Botania               | botania:signal_flare                                   | EntitySignalFlare            |      1 |
| Botania               | botania:spark                                          | EntitySpark                  |      7 |
| Botania               | botania:thorn_chakram                                  | EntityThornChakram           |     10 |
| Botania               | botania:thrown_item                                    | EntityThrownItem             |      8 |
| Botania               | botania:vine_ball                                      | EntityVineBall               |      4 |
| Dark Utilities        | darkutils:fake_tnt                                     | EntityFakeTNT                |      0 |
| Dimensional Doors     | dimdoors:mob_monolith                                  | EntityMonolith               |      0 |
| Embers Rekindled      | embers:ancient_golem                                   | EntityAncientGolem           |      2 |
| Embers Rekindled      | embers:ember_light                                     | EntityEmberLight             |      3 |
| Embers Rekindled      | embers:ember_packet                                    | EntityEmberPacket            |      0 |
| Embers Rekindled      | embers:ember_projectile                                | EntityEmberProjectile        |      1 |
| Ender IO              | enderio:falling_machine                                | EntityFallingMachine         |      1 |
| Ender IO              | enderio:owl_egg                                        | EntityOwlEgg                 |      9 |
| Ender IO              | enderio:primed_charge                                  | EntityPrimedCharge           |      0 |
| Ender IO              | enderiomachines:weather_rocket                         | EntityWeatherRocket          |     33 |
| Ender Zoo             | enderzoo:concussioncreeper                             | EntityConcussionCreeper      | 689991 |
| Ender Zoo             | enderzoo:direslime                                     | EntityDireSlime              | 689997 |
| Ender Zoo             | enderzoo:direwolf                                      | EntityDireWolf               | 689996 |
| Ender Zoo             | enderzoo:enderminy                                     | EntityEnderminy              | 689990 |
| Ender Zoo             | enderzoo:entityowlegg                                  | EntityOwlEgg                 | 679991 |
| Ender Zoo             | enderzoo:entityprimedcharge                            | EntityPrimedCharge           | 699998 |
| Ender Zoo             | enderzoo:fallenknight                                  | EntityFallenKnight           | 689992 |
| Ender Zoo             | enderzoo:fallenmount                                   | EntityFallenMount            | 689993 |
| Ender Zoo             | enderzoo:owl                                           | EntityOwl                    | 689998 |
| Ender Zoo             | enderzoo:withercat                                     | EntityWitherCat              | 689995 |
| Ender Zoo             | enderzoo:witherwitch                                   | EntityWitherWitch            | 689994 |
| Erebus                | erebus:erebus.animated_bamboo_crate                    | EntityAnimatedBambooCrate    |     52 |
| Erebus                | erebus:erebus.animated_block                           | EntityAnimatedBlock          |     50 |
| Erebus                | erebus:erebus.animated_chest                           | EntityAnimatedChest          |     51 |
| Erebus                | erebus:erebus.antlion                                  | EntityAntlion                |     14 |
| Erebus                | erebus:erebus.antlion_boss                             | EntityAntlionBoss            |     57 |
| Erebus                | erebus:erebus.antlion_mini_boss                        | EntityAntlionMiniBoss        |     35 |
| Erebus                | erebus:erebus.bed_bug                                  | EntityBedBug                 |     61 |
| Erebus                | erebus:erebus.beetle                                   | EntityBeetle                 |      3 |
| Erebus                | erebus:erebus.beetle_larva                             | EntityBeetleLarva            |      0 |
| Erebus                | erebus:erebus.black_ant                                | EntityBlackAnt               |     41 |
| Erebus                | erebus:erebus.black_widow                              | EntityBlackWidow             |     15 |
| Erebus                | erebus:erebus.bog_maw                                  | EntityBogMaw                 |     47 |
| Erebus                | erebus:erebus.bombardier_beetle                        | EntityBombardierBeetle       |     17 |
| Erebus                | erebus:erebus.bombardier_beetle_larva                  | EntityBombardierBeetleLarva  |     59 |
| Erebus                | erebus:erebus.bot_fly                                  | EntityBotFly                 |      7 |
| Erebus                | erebus:erebus.bot_fly_larva                            | EntityBotFlyLarva            |     28 |
| Erebus                | erebus:erebus.centipede                                | EntityCentipede              |      2 |
| Erebus                | erebus:erebus.chameleon_tick                           | EntityChameleonTick          |     36 |
| Erebus                | erebus:erebus.cicada                                   | EntityCicada                 |     32 |
| Erebus                | erebus:erebus.crop_weevil                              | EntityCropWeevil             |     30 |
| Erebus                | erebus:erebus.crushroom                                | EntityCrushroom              |     40 |
| Erebus                | erebus:erebus.dragon_fly                               | EntityDragonfly              |     25 |
| Erebus                | erebus:erebus.fire_ant                                 | EntityFireAnt                |     22 |
| Erebus                | erebus:erebus.fire_ant_soldier                         | EntityFireAntSoldier         |     33 |
| Erebus                | erebus:erebus.fire_resistent_item                      | EntityFireResistent          |     54 |
| Erebus                | erebus:erebus.fly                                      | EntityFly                    |      4 |
| Erebus                | erebus:erebus.fungal_weevil                            | EntityFungalWeevil           |     29 |
| Erebus                | erebus:erebus.gas_vent                                 | EntityGasVent                |     79 |
| Erebus                | erebus:erebus.glow_worm                                | EntityGlowWorm               |     16 |
