+-------------------------------------------------+----------+-------------------------------------------+-------------------------------------------------------------+-----+
| Registry name                                   | Meta/dmg | Display name                              | Ore Dict Keys                                               | NBT |
+-------------------------------------------------+----------+-------------------------------------------+-------------------------------------------------------------+-----+
| aether_legacy:aether_leaves                     |    32767 | (WILDCARD)                                | treeLeaves                                                  |     |
| aether_legacy:aether_log                        |    32767 | (WILDCARD)                                | logWood                                                     |     |
| aether_legacy:aether_tune                       |        0 | Aether Tune                               | record                                                      |     |
| aether_legacy:ambrosium_ore                     |        0 | Ambrosium Ore                             | oreAmbrosium                                                |     |
| aether_legacy:ambrosium_torch                   |        0 | Ambrosium Torch                           | torch                                                       |     |
| aether_legacy:ascending_dawn                    |        0 | Ascending Dawn                            | record                                                      |     |
| aether_legacy:blue_berry                        |        0 | Blue Berry                                | cropBlueberry                                               |     |
| aether_legacy:chest_mimic                       |        0 | Chest Mimic                               | chest,chestMimic                                            |     |
| aether_legacy:crystal_leaves                    |    32767 | (WILDCARD)                                | treeLeaves                                                  |     |
| aether_legacy:enchanted_blueberry               |        0 | Enchanted Berry                           | cropBlueberryEnchanted                                      |     |
| aether_legacy:enchanted_gravitite               |        0 | Enchanted Gravitite                       | blockEnchantedGravitite                                     |     |
| aether_legacy:golden_oak_sapling                |        0 | Golden Oak Sapling                        | treeSapling                                                 |     |
| aether_legacy:gravitite_ore                     |        0 | Gravitite Ore                             | oreGravitite                                                |     |
| aether_legacy:holiday_leaves                    |    32767 | (WILDCARD)                                | treeLeaves                                                  |     |
| aether_legacy:quicksoil_glass                   |        0 | Quicksoil Glass                           | blockGlass                                                  |     |
| aether_legacy:skyroot_sapling                   |        0 | Skyroot Sapling                           | treeSapling                                                 |     |
| aether_legacy:skyroot_slab                      |        0 | Skyroot Slab                              | slabWood                                                    |     |
| aether_legacy:skyroot_stairs                    |        0 | Skyroot Stairs                            | stairWood                                                   |     |
| aether_legacy:treasure_chest                    |        0 | Treasure Chest                            | chest,chestTreasure                                         |     |
| aether_legacy:welcoming_skies                   |        0 | Welcoming Skies                           | record                                                      |     |
| aether_legacy:zanite_block                      |        0 | Zanite Block                              | blockZanite                                                 |     |
| aether_legacy:zanite_gemstone                   |        0 | Zanite Gemstone                           | gemZanite                                                   |     |
| aether_legacy:zanite_ore                        |        0 | Zanite Ore                                | oreZanite                                                   |     |
| allomancy:ingotbrass                            |        0 | Brass Ingot                               | ingotBrass                                                  |     |
| allomancy:ingotbronze                           |        0 | Bronze Ingot                              | ingotBronze                                                 |     |
| allomancy:ingotcopper                           |        0 | Copper Ingot                              | ingotCopper                                                 |     |
| allomancy:ingotlead                             |        0 | Lead Ingot                                | ingotLead                                                   |     |
| allomancy:ingottin                              |        0 | Tin Ingot                                 | ingotTin                                                    |     |
| allomancy:ingotzinc                             |        0 | Zinc Ingot                                | ingotZinc                                                   |     |
| allomancy:orecopper                             |        0 | Copper Ore                                | oreCopper                                                   |     |
| allomancy:orelead                               |        0 | Lead Ore                                  | oreLead                                                     |     |
| allomancy:oretin                                |        0 | Tin Ore                                   | oreTin                                                      |     |
| allomancy:orezinc                               |        0 | Zinc Ore                                  | oreZinc                                                     |     |
| appliedenergistics2:certus_quartz_cutting_knife |        0 | Certus Quartz Cutting Knife               | itemQuartzKnife                                             |     |
| appliedenergistics2:certus_quartz_hoe           |    32767 | (WILDCARD)                                | toolHoe                                                     |     |
| appliedenergistics2:certus_quartz_wrench        |        0 | Certus Quartz Wrench                      | itemQuartzWrench                                            |     |
| appliedenergistics2:charged_quartz_ore          |        0 | Charged Certus Quartz Ore                 | oreCertusQuartz,oreChargedCertusQuartz                      |     |
| appliedenergistics2:material                    |        0 | Certus Quartz Crystal                     | crystalCertusQuartz                                         |     |
| appliedenergistics2:material                    |        2 | Certus Quartz Dust                        | dustCertusQuartz                                            |     |
| appliedenergistics2:material                    |        3 | Nether Quartz Dust                        | dustNetherQuartz,dustQuartz                                 |     |
| appliedenergistics2:material                    |        4 | Flour                                     | dustWheat                                                   |     |
| appliedenergistics2:material                    |        5 | Silicon                                   | itemSilicon                                                 |     |
| appliedenergistics2:material                    |        7 | Fluix Crystal                             | crystalFluix                                                |     |
| appliedenergistics2:material                    |        8 | Fluix Dust                                | dustFluix                                                   |     |
| appliedenergistics2:material                    |        9 | Fluix Pearl                               | pearlFluix                                                  |     |
| appliedenergistics2:material                    |       10 | Pure Certus Quartz Crystal                | crystalPureCertusQuartz                                     |     |
| appliedenergistics2:material                    |       11 | Pure Nether Quartz Crystal                | crystalPureNetherQuartz                                     |     |
| appliedenergistics2:material                    |       12 | Pure Fluix Crystal                        | crystalPureFluix                                            |     |
| appliedenergistics2:material                    |       40 | Wooden Gear                               | gearWood                                                    |     |
| appliedenergistics2:material                    |       46 | Ender Dust                                | dustEnder,dustEnderPearl                                    |     |
| appliedenergistics2:material                    |       49 | Iron Dust                                 | dustIron                                                    |     |
